Date,Open,High,Low,Close,Volume,OpenInt
2023-12-14,23.572,23.848,23.238,23.448,11832,9337
2023-12-14,23.5,23.815,23.465,23.501,36336,9834
2023-12-14,23.775,23.962,23.117,23.554,13813,8979
2023-12-14,23.307,23.663,23.298,23.609,31317,9406
2023-12-14,24.447,25.177,24.091,24.6,43818,7803
2023-12-14,24.317,24.667,23.493,24.05,3883,1237
2023-12-14,23.224,23.912,22.808,23.772,5822,925
2023-12-14,24.032,24.503,23.335,24.35,28647,4377
2023-12-14,24.498,25.438,23.579,25.095,22542,3333
2023-12-14,24.401,24.922,23.638,23.986,32540,6756
2023-12-14,23.743,24.646,22.891,23.458,8577,6962
2023-12-14,24.414,24.815,23.844,24.755,23954,2265
2023-12-14,23.571,24.422,22.713,24.067,33854,6671
2023-12-14,23.819,24.385,23.774,23.958,15479,1549
2023-12-14,24.27,25.133,23.345,24.882,49667,2474
2023-12-14,24.46,24.967,23.485,23.863,2123,7931
2023-12-14,23.787,24.21,23.51,23.946,12297,7592
2023-12-14,23.344,23.919,22.509,23.667,3940,9961
2023-12-14,24.712,25.214,24.641,24.966,35006,7185
2023-12-14,23.206,24.147,22.831,23.707,29808,3635
2023-12-14,23.566,24.106,23.389,23.633,44727,9746
2023-12-14,23.016,23.427,22.943,23.005,30283,3280
2023-12-14,24.345,24.893,23.904,24.36,1325,7381
2023-12-14,24.18,24.477,23.324,23.808,7410,7751
2023-12-14,23.298,23.527,23.283,23.448,29244,8230
2023-12-14,24.002,24.794,23.562,24.535,42607,5587
2023-12-14,24.188,24.434,23.386,24.208,14185,9000
2023-12-14,23.356,24.296,22.922,23.983,13807,9543
2023-12-14,24.09,24.606,23.897,24.459,31539,1831
2023-12-14,24.811,25.639,23.836,24.813,27912,290
2023-12-14,23.575,23.58,23.213,23.33,35701,1916
2023-12-14,24.206,25.051,23.401,24.07,16023,7024
2023-12-14,23.472,23.965,23.072,23.635,35287,1470
2023-12-14,23.122,23.604,22.258,23.149,34610,7979
2023-12-14,24.026,24.92,23.836,23.958,49713,2726
2023-12-14,23.423,24.42,22.95,23.392,27999,9985
2023-12-14,24.757,25.646,24.429,24.584,14574,716
2023-12-14,24.78,25.595,24.528,25.403,11009,5470
2023-12-14,24.993,25.254,24.254,24.732,26750,5382
2023-12-14,23.058,23.704,22.239,22.591,39652,9836
2023-12-14,23.593,23.629,23.445,23.551,13598,1409
2023-12-14,23.264,24.166,22.833,23.446,6379,2297
2023-12-14,23.619,24.345,22.81,24.112,45549,8372
